x	y	z
0.000000	0.500000	0.000000
0.000000	0.700000	0.000000
0.000000	0.900000	0.000000
0.000000	1.100000	0.000000
0.000000	1.300000	0.000000
0.000000	1.500000	0.000000
0.000000	1.700000	0.000000
0.000000	1.900000	0.000000
0.000000	2.100000	0.000000
0.000000	2.300000	0.000000
0.000000	2.500000	0.000000
0.000000	2.700000	0.000000
0.000000	2.900000	0.000000
0.000000	3.100000	0.000000
0.000000	3.300000	0.000000
0.000000	3.500000	0.000000
0.000000	3.700000	0.000000
0.000000	3.900000	0.000000
0.000000	4.100000	0.000000
0.000000	4.300000	0.000000
0.000000	4.500000	0.000000
0.000000	4.700000	0.000000
0.000000	4.900000	0.000000
0.000000	5.100000	0.000000
0.000000	5.300000	0.000000
0.000000	5.500000	0.000000
0.000000	5.700000	0.000000
0.000000	5.900000	0.000000
0.000000	6.100000	0.000000
0.000000	6.300000	0.000000
0.000000	6.500000	0.000000
0.000000	6.700000	0.000000
0.000000	6.900000	0.000000
0.000000	7.100000	0.000000
0.000000	7.300000	0.000000
0.000000	7.500000	0.000000
0.000000	7.700000	0.000000
0.000000	7.900000	0.000000
0.200000	0.500000	1.229751
0.200000	0.700000	1.721651
0.200000	0.900000	2.213552
0.200000	1.100000	2.705452
0.200000	1.300000	3.197352
0.200000	1.500000	3.689253
0.200000	1.700000	4.181153
0.200000	1.900000	4.673054
0.200000	2.100000	5.164954
0.200000	2.300000	5.656854
0.200000	2.500000	6.148755
0.200000	2.700000	6.640655
0.200000	2.900000	7.132555
0.200000	3.100000	7.624456
0.200000	3.300000	8.116356
0.200000	3.500000	8.608256
0.200000	3.700000	9.100157
0.200000	3.900000	9.592057
0.200000	4.100000	10.083958
0.200000	4.300000	10.575858
0.200000	4.500000	11.067758
0.200000	4.700000	11.559659
0.200000	4.900000	12.051559
0.200000	5.100000	12.543459
0.200000	5.300000	13.035360
0.200000	5.500000	13.527260
0.200000	5.700000	14.019161
0.200000	5.900000	14.511061
0.200000	6.100000	15.002961
0.200000	6.300000	15.494862
0.200000	6.500000	15.986762
0.200000	6.700000	16.478662
0.200000	6.900000	16.970563
0.200000	7.100000	17.462463
0.200000	7.300000	17.954363
0.200000	7.500000	18.446264
0.200000	7.700000	18.938164
0.200000	7.900000	19.430065
0.400000	0.500000	2.459502
0.400000	0.700000	3.443303
0.400000	0.900000	4.427103
0.400000	1.100000	5.410904
0.400000	1.300000	6.394705
0.400000	1.500000	7.378506
0.400000	1.700000	8.362306
0.400000	1.900000	9.346107
0.400000	2.100000	10.329908
0.400000	2.300000	11.313708
0.400000	2.500000	12.297509
0.400000	2.700000	13.281310
0.400000	2.900000	14.265111
0.400000	3.100000	15.248911
0.400000	3.300000	16.232712
0.400000	3.500000	17.216513
0.400000	3.700000	18.200314
0.400000	3.900000	19.184114
0.400000	4.100000	20.167915
0.400000	4.300000	21.151716
0.400000	4.500000	22.135517
0.400000	4.700000	23.119317
0.400000	4.900000	24.103118
0.400000	5.100000	25.086919
0.400000	5.300000	26.070720
0.400000	5.500000	27.054520
0.400000	5.700000	28.038321
0.400000	5.900000	29.022122
0.400000	6.100000	30.005923
0.400000	6.300000	30.989723
0.400000	6.500000	31.973524
0.400000	6.700000	32.957325
0.400000	6.900000	33.941125
0.400000	7.100000	34.924926
0.400000	7.300000	35.908727
0.400000	7.500000	36.892528
0.400000	7.700000	37.876328
0.400000	7.900000	38.860129
0.600000	0.500000	3.689253
0.600000	0.700000	5.164954
0.600000	0.900000	6.640655
0.600000	1.100000	8.116356
0.600000	1.300000	9.592057
0.600000	1.500000	11.067758
0.600000	1.700000	12.543459
0.600000	1.900000	14.019161
0.600000	2.100000	15.494862
0.600000	2.300000	16.970563
0.600000	2.500000	18.446264
0.600000	2.700000	19.921965
0.600000	2.900000	21.397666
0.600000	3.100000	22.873367
0.600000	3.300000	24.349068
0.600000	3.500000	25.824769
0.600000	3.700000	27.300471
0.600000	3.900000	28.776172
0.600000	4.100000	30.251873
0.600000	4.300000	31.727574
