Plot Name 
Original mesh grid size: 60 rows, 45 columns
x	y	z
747.000000	-19.105505	6.814721
747.000000	-18.281811	6.833630
747.000000	-17.458118	6.881758
747.000000	-16.634424	6.957949
747.000000	-15.810730	7.055051
747.000000	-14.987037	7.162611
747.000000	-14.163343	7.263899
747.000000	-13.339650	7.345516
747.000000	-12.515956	7.403079
747.000000	-11.692262	7.431736
747.000000	-10.868569	7.449917
747.000000	-10.044875	7.474587
747.000000	-9.221182	7.507432
747.000000	-8.397488	7.551699
747.000000	-7.573794	7.607603
747.000000	-6.750101	7.677720
747.000000	-5.926407	7.764963
747.000000	-5.102714	7.874897
747.000000	-4.279020	8.019662
747.000000	-3.455326	8.225855
747.000000	-2.631633	8.562973
747.000000	-1.807939	9.248065
747.000000	2.145790	10.785158
747.000000	2.969484	11.194957
747.000000	3.793177	11.827140
747.000000	4.616871	12.500159
747.000000	5.440564	13.130356
747.000000	6.264258	13.684443
747.000000	7.087952	14.158636
747.000000	7.911645	14.556791
747.000000	8.735339	14.897839
747.000000	9.559032	15.199594
747.000000	10.382726	15.471852
747.000000	11.206420	15.737686
747.000000	12.030113	15.939474
747.000000	12.853807	16.055083
747.000000	13.677500	16.022238
747.000000	14.501194	15.878066
747.000000	15.324888	15.659892
747.000000	16.148581	15.422542
747.000000	16.972275	15.250844
747.000000	17.795968	15.182076
747.000000	18.619662	15.235924
747.000000	19.443355	15.434594
747.000000	20.267049	15.803090
1072.000000	-19.105505	5.956674
1072.000000	-18.281811	5.905164
1072.000000	-17.458118	5.886409
1072.000000	-16.634424	5.897771
1072.000000	-15.810730	5.930157
1072.000000	-14.987037	5.971709
1072.000000	-14.163343	6.005089
1072.000000	-13.339650	6.017011
1072.000000	-12.515956	6.004638
1072.000000	-11.692262	5.964486
1072.000000	-10.868569	5.915089
1072.000000	-10.044875	5.873011
1072.000000	-9.221182	5.839103
1072.000000	-8.397488	5.815594
1072.000000	-7.573794	5.801507
1072.000000	-6.750101	5.797844
1072.000000	-5.926407	5.805510
1072.000000	-5.102714	5.827192
1072.000000	-4.279020	5.870247
1072.000000	-3.455326	5.952107
1072.000000	-2.631633	6.120417
1072.000000	-1.807939	6.525900
1072.000000	2.145790	7.225061
1072.000000	2.969484	7.381239
1072.000000	3.793177	7.686784
1072.000000	4.616871	8.030508
1072.000000	5.440564	8.366881
1072.000000	6.264258	8.680090
1072.000000	7.087952	8.969321
1072.000000	7.911645	9.236577
1072.000000	8.735339	9.490942
1072.000000	9.559032	9.740737
1072.000000	10.382726	9.990309
1072.000000	11.206420	10.251318
1072.000000	12.030113	10.490061
1072.000000	12.853807	10.683545
1072.000000	13.677500	10.785780
1072.000000	14.501194	10.817573
1072.000000	15.324888	10.798587
1072.000000	16.148581	10.765007
1072.000000	16.972275	10.776202
1072.000000	17.795968	10.861757
1072.000000	18.619662	11.040179
1072.000000	19.443355	11.333571
1072.000000	20.267049	11.769419
1397.000000	-19.105505	5.257776
1397.000000	-18.281811	5.168383
1397.000000	-17.458118	5.113550
1397.000000	-16.634424	5.089610
1397.000000	-15.810730	5.086713
1397.000000	-14.987037	5.092835
1397.000000	-14.163343	5.091326
1397.000000	-13.339650	5.069811
1397.000000	-12.515956	5.026463
1397.000000	-11.692262	4.958712
1397.000000	-10.868569	4.884000
