
# Surface 0 of 1 surfaces

# Curve title: ""Thesis_contourtmp3.dat""

# Contour 0, label:     99.7
 19922 -10.9604  99.7 
 19846 -10.8686  99.7 
 19597 -10.5768  99.7 
 19272 -10.1399  99.7 
 19201.1 -10.0449  99.7 
 18947 -9.66646  99.7 
 18647.9 -9.22118  99.7 
 18622 -9.17799  99.7 
 18297 -8.62984  99.7 
 18160.2 -8.39749  99.7 
 17972 -8.05066  99.7 
 17715.5 -7.57379  99.7 
 17647 -7.43802  99.7 
 17322 -6.78527  99.7 
 17304.8 -6.7501  99.7 
 16997 -6.09909  99.7 
 16916.6 -5.92641  99.7 
 16672 -5.39791  99.7 
 16537.9 -5.10271  99.7 
 16347 -4.68485  99.7 
 16165.7 -4.27902  99.7 
 16022 -3.94608  99.7 
 15816.2 -3.45533  99.7 
 15697 -3.08483  99.7 
 15557.3 -2.63163  99.7 
 15592.2 -1.80794  99.7 
 15675  2.14579  99.7 
 15697  2.24291  99.7 
 15870  2.96948  99.7 
 16022  3.31142  99.7 
 16242.3  3.79318  99.7 
 16347  4.00114  99.7 
 16663  4.61687  99.7 
 16672  4.63463  99.7 
 16997  5.26415  99.7 
 17089.4  5.44056  99.7 
 17322  5.89438  99.7 
 17513.9  6.26426  99.7 
 17647  6.51884  99.7 
 17947.6  7.08795  99.7 
 17972  7.13281  99.7 
 18297  7.72121  99.7 
 18403.1  7.91165  99.7 
 18622  8.28059  99.7 
 18892.9  8.73534  99.7 
 18947  8.81867  99.7 
 19272  9.31399  99.7 
 19434.2  9.55903  99.7 
 19597  9.78292  99.7 
 19922  10.221  99.7 


# Contour 1, label:     99.5
 19922 -16.666  99.5 
 19796.2 -16.6344  99.5 
 19597 -16.5781  99.5 
 19272 -16.4559  99.5 
 18947 -16.3125  99.5 
 18622 -16.3804  99.5 
 18297 -16.5346  99.5 
 18093.3 -16.6344  99.5 
 17972 -16.6874  99.5 
 17647 -16.8332  99.5 
 17322 -16.9767  99.5 
 16997 -16.866  99.5 
 16820.6 -16.6344  99.5 
 16672 -16.3614  99.5 
 16375.1 -15.8107  99.5 
 16347 -15.7495  99.5 
 16022 -15.0313  99.5 
 16002.3 -14.987  99.5 
 15697 -14.3105  99.5 
 15631.6 -14.1633  99.5 
 15372 -13.6557  99.5 
 15212.3 -13.3397  99.5 
 15047 -13.0499  99.5 
 14745.1 -12.516  99.5 
 14722 -12.4798  99.5 
 14397 -11.9619  99.5 
 14229.2 -11.6923  99.5 
 14072 -11.4409  99.5 
 13747 -10.9162  99.5 
 13718 -10.8686  99.5 
 13422 -10.3293  99.5 
 13267.8 -10.0449  99.5 
 13097 -9.69728  99.5 
 12866.9 -9.22118  99.5 
 12772 -9.0022  99.5 
 12515.4 -8.39749  99.5 
 12447 -8.22247  99.5 
 12200.1 -7.57379  99.5 
 12122 -7.35376  99.5 
 11914.1 -6.7501  99.5 
 11797 -6.3936  99.5 
 11648.6 -5.92641  99.5 
 11472 -5.35495  99.5 
 11396.9 -5.10271  99.5 
 11160.5 -4.27902  99.5 
 11147 -4.22635  99.5 
 10958.8 -3.45533  99.5 
 10840.7 -2.63163  99.5 
 10986.4 -1.80794  99.5 
 11026.1  2.14579  99.5 
 11091.9  2.96948  99.5 
 11147  3.1749  99.5 
 11320.2  3.79318  99.5 
 11472  4.24846  99.5 
 11599.2  4.61687  99.5 
 11797  5.18003  99.5 
 11891.4  5.44056  99.5 
 12122  6.08051  99.5 
 12190.1  6.26426  99.5 
 12447  6.94656  99.5 
 12501.6  7.08795  99.5 
 12772  7.76556  99.5 
 12831.6  7.91165  99.5 
 13097  8.523  99.5 
 13191  8.73534  99.5 
 13422  9.21636  99.5 
 13589.2  9.55903  99.5 
 13747  9.85457  99.5 
 14032.3  10.3827  99.5 
 14072  10.4485  99.5 
 14397  10.9777  99.5 
 14538.7  11.2064  99.5 
 14722  11.4887  99.5 
 15047  11.9864  99.5 
 15076.1  12.0301  99.5 
 15372  12.4896  99.5 
 15607.4  12.8538  99.5 
 15697  13.0172  99.5 
 16022  13.603  99.5 
 16064  13.6775  99.5 
 16347  14.2466  99.5 
 16475.1  14.5012  99.5 
 16672  14.9299  99.5 
 16855.8  15.3249  99.5 
 16997  15.6175  99.5 
 17256.5  16.1486  99.5 
 17322  16.2554  99.5 
 17647  16.7059  99.5 
 17972  16.6684  99.5 
 18297  16.5264  99.5 
 18622  16.3805  99.5 
 18947  16.31  99.5 
 19272  16.4532  99.5 
 19597  16.5715  99.5 
 19922  16.6586  99.5 


# Contour 2, label:     99.2
 16271.2  20.267  99.25 
 16022  20.0943  99.25 
 15697  19.8684  99.25 
 15372  19.6429  99.25 
 15084.8  19.4434  99.25 
 15047  19.409  99.25 
 14722  19.1087  99.25 
 14397  18.8087  99.25 
 14193.7  18.6197  99.25 
 14072  18.4731  99.25 
 13747  18.0763  99.25 
 13518.8  17.796  99.25 
 13422  17.642  99.25 
 13097  17.1165  99.25 
 13009.3  16.9723  99.25 
 12772  16.4644  99.25 
 12627.4  16.1486  99.25 
 12447  15.6579  99.25 
 12327.9  15.3249  99.25 
 12122  14.7335  99.25 
 12043.5  14.5012  99.25 
 11797  13.8432  99.25 
 11736.7  13.6775  99.25 
 11472  13.043  99.25 
 11395.1  12.8538  99.25 
 11147  12.3421  99.25 
 10998.9  12.0301  99.25 
 10822  11.6728  99.25 
 10595.9  11.2064  99.25 
 10497  10.9949  99.25 
 10217.6  10.3827  99.25 
 10172  10.2722  99.25 
 9886.12  9.55903  99.25 
 9847  9.45325  99.25 
 9590.43  8.73534  99.25 
 9522  8.52955  99.25 
 9324.34  7.91165  99.25 
 9197  7.49208  99.25 
 9079.5  7.08795  99.25 
 8872  6.35608  99.25 
 8847.15  6.26426  99.25 
 8628.67  5.44056  99.25 
 8547  5.13276  99.25 
 8416.92  4.61687  99.25 
 8222  3.82049  99.25 
 8215.68  3.79318  99.25 
 8065.22  2.96948  99.25 
 8044.45  2.14579  99.25 
 8006.74 -1.80794  99.25 
 7897 -2.34459  99.25 
 7840.55 -2.63163  99.25 
 7888.91 -3.45533  99.25 
 7897 -3.51137  99.25 
 8016.24 -4.27902  99.25 
 8169.67 -5.10271  99.25 
 8222 -5.36369  99.25 
 8341.88 -5.92641  99.25 
 8525.12 -6.7501  99.25 
 8547 -6.84226  99.25 
 8730.12 -7.57379  99.25 
 8872 -8.10144  99.25 
 8955.48 -8.39749  99.25 
 9197 -9.18766  99.25 
 9207.69 -9.22118  99.25 
 9499.4 -10.0449  99.25 
 9522 -10.1031  99.25 
 9829.29 -10.8686  99.25 
 9847 -10.9088  99.25 
 10172 -11.6242  99.25 
 10203.8 -11.6923  99.25 
 10497 -12.3282  99.25 
 10585.7 -12.516  99.25 
 10822 -13.0876  99.25 
 10929 -13.3397  99.25 
 11147 -13.9263  99.25 
 11237.7 -14.1633  99.25 
 11472 -14.8746  99.25 
 11510.2 -14.987  99.25 
 11783.9 -15.8107  99.25 
 11797 -15.8446  99.25 
 12111.8 -16.6344  99.25 
 12122 -16.6545  99.25 
 12447 -17.2771  99.25 
 12543.2 -17.4581  99.25 
 12772 -17.783  99.25 
 13097 -18.2407  99.25 
 13126.8 -18.2818  99.25 
 13422 -18.5952  99.25 
 13747 -18.9392  99.25 
 13905.9 -19.1055  99.25 

 17718.8  20.267  99.25 
 17647  20.2481  99.25 
 17322  20.237  99.25 
 17247.3  20.267  99.25 

 19922  20.0959  99.25 
 19597  20.1655  99.25 
 19272  20.2265  99.25 
 19036  20.267  99.25 


# Contour 3, label:       99
 12822.7  20.267  99 
